WallIDX	Tgt	Prj	Chrg	Value
20	w	w	1	-9.12665e-30
20	w	w	2	-7.00479e-29
20	w	w	3	-2.58692e-28
21	al	al	0	0.00253521
21	al	al	1	0.122298
21	al	al	2	0.313943
21	al	al	3	0.490473
21	al	d	0	4.12431e-05
21	al	d	1	0.0253778
21	al	n	0	0.00258
21	al	n	1	0.129713
21	al	n	2	0.327282
21	al	n	3	0.498537
21	al	w	0	6.39955e-24
21	al	w	1	0.0104781
21	al	w	2	0.0640067
21	al	w	3	0.151766
21	n	al	0	0.00551676
21	n	al	1	0.102273
21	n	al	2	0.221146
21	n	al	3	0.324605
21	n	d	0	0.0017304
21	n	d	1	0.0258924
21	n	n	0	0.00799269
21	n	n	1	0.116762
21	n	n	2	0.234899
21	n	n	3	0.334007
21	n	w	0	4.07664e-06
21	n	w	1	0.00870883
21	n	w	2	0.0438472
21	n	w	3	0.0988767
21	w	al	0	0
21	w	al	1	-2.69615e-29
21	w	al	2	-4.35894e-28
21	w	al	3	-1.7817e-27
21	w	d	0	0
21	w	d	1	2.33325e-24
21	w	n	0	0
21	w	n	1	-1.58692e-29
21	w	n	2	-2.55743e-28
21	w	n	3	-1.08013e-27
21	w	w	0	0
21	w	w	1	-1.59378e-28
21	w	w	2	-1.28789e-27
21	w	w	3	-3.43454e-27
22	al	al	0	0.00218957
22	al	al	1	0.168699
22	al	al	2	0.399744
22	al	al	3	0.607121
22	al	d	0	3.67324e-05
22	al	d	1	0.0354668
22	al	n	0	0.00232128
22	al	n	1	0.179003
22	al	n	2	0.409563
22	al	n	3	0.599533
22	al	w	0	-1.41982e-24
22	al	w	1	0.018893
22	al	w	2	0.10786
22	al	w	3	0.222654
22	n	al	0	0.00583112
22	n	al	1	0.153649
22	n	al	2	0.31251
22	n	al	3	0.448885
22	n	d	0	0.00188643
22	n	d	1	0.0359737
22	n	n	0	0.00866689
22	n	n	1	0.170667
22	n	n	2	0.324658
22	n	n	3	0.451941
22	n	w	0	4.09585e-06
22	n	w	1	0.0176628
22	n	w	2	0.0839928
22	n	w	3	0.166123
22	w	al	0	0
22	w	al	1	-2.09435e-28
22	w	al	2	-3.7724e-27
22	w	al	3	-1.02176e-26
22	w	d	0	0
22	w	d	1	-1.99542e-24
22	w	n	0	0
22	w	n	1	-1.30257e-28
22	w	n	2	-2.25988e-27
22	w	n	3	-6.52553e-27
22	w	w	0	0
22	w	w	1	-1.06632e-27
22	w	w	2	-7.8899e-27
22	w	w	3	-1.76166e-26
23	al	al	0	0.00285238
23	al	al	1	0.0727212
23	al	al	2	0.188198
23	al	al	3	0.32199
23	al	d	0	4.51586e-05
23	al	d	1	0.0144529
23	al	n	0	0.0027987
23	al	n	1	0.0765129
23	al	n	2	0.198573
23	al	n	3	0.335487
23	al	w	0	1.37281e-23
