VarInfo	ResiduumInfo	Residuum	Value	AbsTol
CNw90	Residuum equation #271(Solvar: CNw90)	8.32667e-17	0.0453882	1e-06
CWw90	Residuum equation #272(Solvar: CWw90)	5.55112e-16	0.824995	1e-06
CALw91	Residuum equation #273(Solvar: CALw91)	1.94289e-16	0.18419	1e-06
CNw91	Residuum equation #274(Solvar: CNw91)	-1.38778e-17	0.0818754	1e-06
CWw91	Residuum equation #275(Solvar: CWw91)	1.11022e-16	0.733934	1e-06
CALw92	Residuum equation #276(Solvar: CALw92)	-2.77556e-17	0.126706	1e-06
CNw92	Residuum equation #277(Solvar: CNw92)	-7.63278e-17	0.0590806	1e-06
CWw92	Residuum equation #278(Solvar: CWw92)	8.88178e-16	0.814213	1e-06
CALw93	Residuum equation #279(Solvar: CALw93)	1.38778e-17	0.0115338	1e-06
CNw93	Residuum equation #280(Solvar: CNw93)	9.54098e-18	0.00650108	1e-06
CWw93	Residuum equation #281(Solvar: CWw93)	-4.44089e-16	0.981965	1e-06
deltaALw0	Residuum equation #282(Solvar: deltaALw0)	8.52647e-12	0.436839	1e-06
deltaNw0	Residuum equation #283(Solvar: deltaNw0)	-8.52642e-12	0.172997	1e-06
deltaWw0	Residuum equation #284(Solvar: deltaWw0)	2.79209e-23	1.66424e-22	1e-06
deltaALw1	Residuum equation #285(Solvar: deltaALw1)	9.81818e-11	0.443856	1e-06
deltaNw1	Residuum equation #286(Solvar: deltaNw1)	-9.81818e-11	0.16598	1e-06
deltaWw1	Residuum equation #287(Solvar: deltaWw1)	-1.54173e-24	9.15248e-24	1e-06
deltaALw2	Residuum equation #288(Solvar: deltaALw2)	3.65006e-11	0.409704	1e-06
deltaNw2	Residuum equation #289(Solvar: deltaNw2)	-3.65007e-11	0.200132	1e-06
deltaWw2	Residuum equation #290(Solvar: deltaWw2)	-1.81645e-25	-2.77331e-23	1e-06
deltaALw3	Residuum equation #291(Solvar: deltaALw3)	-1.91195e-12	0.352917	1e-06
deltaNw3	Residuum equation #292(Solvar: deltaNw3)	1.91189e-12	0.256919	1e-06
deltaWw3	Residuum equation #293(Solvar: deltaWw3)	-2.49149e-24	2.29076e-21	1e-06
deltaALw4	Residuum equation #294(Solvar: deltaALw4)	-2.30834e-11	0.416951	1e-06
deltaNw4	Residuum equation #295(Solvar: deltaNw4)	2.30833e-11	0.192885	1e-06
deltaWw4	Residuum equation #296(Solvar: deltaWw4)	4.34964e-24	1.23523e-21	1e-06
deltaALw5	Residuum equation #297(Solvar: deltaALw5)	-2.10546e-11	0.425676	1e-06
deltaNw5	Residuum equation #298(Solvar: deltaNw5)	2.10547e-11	0.18416	1e-06
deltaWw5	Residuum equation #299(Solvar: deltaWw5)	-1.3689e-23	1.1565e-22	1e-06
deltaALw6	Residuum equation #300(Solvar: deltaALw6)	-3.04525e-11	0.427207	1e-06
deltaNw6	Residuum equation #301(Solvar: deltaNw6)	3.04523e-11	0.182629	1e-06
deltaWw6	Residuum equation #302(Solvar: deltaWw6)	-9.30921e-24	-5.97252e-22	1e-06
deltaALw7	Residuum equation #303(Solvar: deltaALw7)	-5.0127e-11	0.42577	1e-06
deltaNw7	Residuum equation #304(Solvar: deltaNw7)	5.0127e-11	0.184066	1e-06
deltaWw7	Residuum equation #305(Solvar: deltaWw7)	1.83619e-23	-1.13783e-21	1e-06
deltaALw8	Residuum equation #306(Solvar: deltaALw8)	-7.9104e-11	0.429327	1e-06
deltaNw8	Residuum equation #307(Solvar: deltaNw8)	7.91042e-11	0.180509	1e-06
deltaWw8	Residuum equation #308(Solvar: deltaWw8)	5.7975e-24	2.4664e-22	1e-06
deltaALw9	Residuum equation #309(Solvar: deltaALw9)	-3.41355e-10	0.428107	1e-06
deltaNw9	Residuum equation #310(Solvar: deltaNw9)	3.41355e-10	0.181729	1e-06
