WK	Angle	Energy	AL	N	W	SYield+Offset	SYield
87	45.000	76.236	0.693	0.307	0.000	0.140566	0.140566
18	45.000	78.490	0.690	0.310	-0.000	0.147301	0.147301
26	45.000	79.199	0.694	0.306	-0.000	0.147302	0.147302
17	45.000	79.276	0.717	0.283	-0.000	0.137563	0.137563
77	45.000	79.844	0.603	0.397	0.000	0.190527	0.190527
36	45.000	80.538	0.692	0.308	-0.000	0.15179	0.15179
25	45.000	81.044	0.711	0.289	0.000	0.144542	0.144542
55	45.000	81.552	0.686	0.314	0.000	0.157085	0.157085
24	45.000	82.252	0.710	0.290	-0.000	0.147719	0.147719
48	45.000	82.748	0.682	0.318	-0.000	0.162433	0.162433
60	45.000	82.753	0.714	0.286	-0.000	0.147003	0.147003
15	45.000	82.995	0.716	0.284	-0.000	0.146624	0.146624
30	45.000	83.127	0.716	0.284	-0.000	0.146749	0.146749
75	45.000	83.138	0.714	0.286	0.000	0.1477	0.1477
45	45.000	83.226	0.716	0.284	0.000	0.14709	0.14709
0	45.000	83.292	0.716	0.284	0.000	0.147148	0.147148
32	45.000	83.892	0.701	0.299	-0.000	0.155945	0.155945
52	45.000	84.994	0.692	0.308	-0.000	0.163085	0.163085
84	45.000	85.382	0.706	0.294	0.000	0.157442	0.157442
40	45.000	86.480	0.693	0.307	-0.000	0.166361	0.166361
4	45.000	88.052	0.684	0.316	0.000	0.175235	0.175235
50	45.000	88.876	0.702	0.298	-0.000	0.168013	0.168013
80	45.000	89.301	0.706	0.294	-0.000	0.166962	0.166962
54	45.000	89.561	0.702	0.298	-0.000	0.169647	0.169647
9	45.000	90.866	0.702	0.298	0.000	0.172702	0.172702
19	45.000	91.118	0.698	0.302	-0.000	0.175605	0.175605
5	45.000	92.690	0.698	0.302	-0.000	0.179403	0.179403
39	45.000	92.910	0.705	0.295	-0.000	0.175997	0.175997
37	45.000	93.806	0.668	0.332	0.000	0.199354	0.199354
41	45.000	93.912	0.675	0.325	0.000	0.195566	0.195566
2	45.000	94.278	0.672	0.328	-0.000	0.198206	0.198206
81	45.000	94.602	0.703	0.297	0.000	0.181566	0.181566
85	45.000	94.902	0.591	0.409	-0.000	0.245497	0.245497
65	45.000	94.967	0.698	0.302	-0.000	0.185334	0.185334
8	45.000	95.654	0.704	0.296	0.000	0.183333	0.183333
47	45.000	95.786	0.688	0.312	0.000	0.193154	0.193154
83	45.000	96.443	0.700	0.300	0.000	0.187571	0.187571
6	45.000	97.450	0.701	0.299	0.000	0.189788	0.189788
23	45.000	97.485	0.699	0.301	0.000	0.191016	0.191016
10	45.000	97.544	0.668	0.332	0.000	0.209268	0.209268
7	45.000	98.071	0.698	0.302	-0.000	0.192744	0.192744
66	45.000	98.450	0.666	0.334	0.000	0.212921	0.212921
